"","countrycode","year","gdppc","scenario"
"11503","TCD",1995,807.5735572,"Observed"
"11504","TCD",1996,723.1883459,"Observed"
"11505","TCD",1997,743.3848674,"Observed"
"11506","TCD",1998,777.7461028,"Observed"
"11507","TCD",1999,757.153772,"Observed"
"11508","TCD",2000,733.9241469,"Observed"
"11509","TCD",2001,768.4805614,"Observed"
"11510","TCD",2002,816.6590279,"Observed"
"11511","TCD",2003,904.6821281,"Observed"
"11512","TCD",2004,1237.168703,"Observed"
"11513","TCD",2005,1293.27867,"Observed"
"11514","TCD",2006,1266.985737,"Observed"
"11515","TCD",2007,1216.700104,"Observed"
"11516","TCD",2008,1187.781777,"Observed"
"11517","TCD",2009,1275.86575,"Observed"
"11518","TCD",2010,1275.865435,"Observed"
"11519","TCD",2011,1302.2596428,"Observed"
"11520","TCD",2012,1328.6538506,"Observed"
"11521","TCD",2013,1355.0480584,"Observed"
"11522","TCD",2014,1381.4422662,"Observed"
"11523","TCD",2015,1407.836474,"Observed"
"11524","TCD",2016,1434.2306818,"Observed"
"11525","TCD",2017,1460.6248896,"Observed"
"11526","TCD",2018,1487.0190974,"Observed"
"11527","TCD",2019,1513.4133052,"Observed"
"11528","TCD",2020,1539.807513,"Observed"
"11529","TGO",1950,NA,"Observed"
"11530","TGO",1951,NA,"Observed"
"11531","TGO",1952,NA,"Observed"
"11532","TGO",1953,NA,"Observed"
"11533","TGO",1954,NA,"Observed"
"11534","TGO",1955,NA,"Observed"
"11535","TGO",1956,NA,"Observed"
"11536","TGO",1957,NA,"Observed"
"11537","TGO",1958,NA,"Observed"
"11538","TGO",1959,NA,"Observed"
"11539","TGO",1960,764.2271764,"Observed"
"11540","TGO",1961,829.7185851,"Observed"
"11541","TGO",1962,836.7881898,"Observed"
"11542","TGO",1963,865.393236,"Observed"
"11543","TGO",1964,942.4592877,"Observed"
"11544","TGO",1965,1048.426364,"Observed"
"11545","TGO",1966,1129.399492,"Observed"
"11546","TGO",1967,1169.526512,"Observed"
"11547","TGO",1968,1199.443835,"Observed"
"11548","TGO",1969,1286.992183,"Observed"
"11549","TGO",1970,1234.367708,"Observed"
"11550","TGO",1971,1302.707787,"Observed"
"11551","TGO",1972,1329.408652,"Observed"
"11552","TGO",1973,1260.901118,"Observed"
"11553","TGO",1974,1271.443139,"Observed"
"11554","TGO",1975,1322.326674,"Observed"
"11555","TGO",1976,1239.582682,"Observed"
