"","countrycode","sptemp","cdd","cddeq","clim.max"
"521","CAN","24",10,197.491898141044,0.34404056569249
"522","CHE","24",0,0,0.051
"523","CHL","24",0,0,0.051
"524","CHN","24",195,1106.67645759695,0.880188002960106
"525","CIV","24",903,2901.31865977047,0.995821539384768
"526","CMR","24",515,2015.90919152202,0.978118126271705
"527","COD","24",449,1875.84987449721,0.971566457184147
"528","COG","24",593,2185.93895721645,0.984077981722349
"529","COL","24",368,1687.59702959638,0.959568776181064
"530","COM","24",465,1910.17156950368,0.973334036853859
"531","CRI","24",441,1858.47169581226,0.970627268984925
"532","CYP","24",263,1372.19572104813,0.927077094048053
"533","CZE","24",2,155.727161203455,0.290756430406892
"534","DEU","24",4,166.16867217658,0.304470530848581
"535","DJI","24",1210,3305.79733202484,0.998038777922788
"536","DNK","24",0,0,0.051
"537","DOM","24",476,1933.5295093294,0.974473717282581
"538","DZA","24",201,1132.11870056869,0.885754821388545
"539","ECU","24",478,1937.76243525587,0.974674974813092
"540","EGY","24",352,1645.86539162786,0.956287219632532
"541","ESP","24",74,529.675208828731,0.647547395427059
"542","EST","24",0,0,0.051
"543","ETH","24",143,871.815268079474,0.814117594123877
"544","FIN","24",0,0,0.051
"545","FJI","24",462,1903.77260022401,0.973013033258283
"546","FRA","24",15,223.59083212286,0.375286001540164
"547","GAB","24",672,2370.81327599198,0.98873176198926
